product_title,tier,participation_pct,three_weeks_units,revenue_gross,rank,three_weeks_30ml,three_weeks_100ml
Sándalo Imperial (Inspirado en Santal 33),S,11.499886026897652154000,1009,519520.4,1,284,725
Elegancia Romana (Inspirado en Valentino Born in Roma),S,11.249145201732391156000,987,471632.7,2,399,588
Sueño Lúcido (Inspirado en Imagination de Louis Vuitton),S,7.225894688853430590000,634,310105.60000000001,3,233,401
Abundancia Infinita (Inspirado en L'Immensite de Louis Vuitton),S,5.915204011853202644000,519,253040.9,4,193,326
Aura del Misterio (Inspirado en Y de YSL),S,5.208570777296558012000,457,228172.9,5,152,305
Instinto Salvaje (Inspirado en Dior Sauvage),S,5.140186915887850467000,451,227428.6,6,143,308
Espíritu de Conquistador (Inspirado en Creed Aventus),S,5.071803054479142922000,445,225544.8,7,137,308
Elixir de Poder (Inspirado en Baccarat Rouge 540),A,4.034647823113745156000,354,171546,8,135,219
Esencia Divina (Inspirado en Erba Pura de Xerjoff),A,3.692728516070207431000,324,148505.9,9,152,172
Porte Exuberante (Inspirado en Le Male Elixir de Jean Paul Gaultier),A,3.043081832687485753000,267,130233,10,99,168
Dinastía Divina (Inspirado en Sauvage Elixir de Dior),A,2.974697971278778208000,261,128498.9,11,93,168
Horizonte Azul (Inspirado en Bleu Chanel),A,2.769546387052655573000,243,119457,12,87,156
Glorioso Layton (Inspirado en Layton de Perfums De Marly),A,2.518805561887394575000,221,106098.8,13,88,133
Armadura Dorada (Inspirado Le Beau de Jean Paul Gaultier),A,2.450421700478687030000,215,109285,14,65,150
Pasión Oriental (Inspirado en Tobacco and Vanille de Tom Ford),A,2.359243218600410303000,207,101493,15,75,132
Verano Infinito (Inspirado en Acqua Di Gio),A,1.857761568269888306000,163,82337,16,51,112
Brisa Envolvente (Inspirado en Acqua di Gio Eau de Parfum de Giorgio Armani),A,1.789377706861180761000,157,73943,17,67,90
Jardín Celestial (Inspirado en Le Beau de Paradise Garden de Jean Paul Gaultier),A,1.698199224982904035000,149,70951,18,61,88
Esencia Rebelde (Inspirado en 212 VIP Man Black de Carolina Herrera),A,1.538636881695919763000,135,66165,19,49,86
Emperador Oscuro (Inspirado en Ombre Nomade de Louis Vuitton),B,1.493047640756781400000,131,64669,20,46,85
Corazón Ardiente (Inspirado en Eros Versace.),B,1.401869158878504673000,123,62277,21,38,85
Eco Profundo (Inspirado en Myslf de YSL),B,1.333485297469797128000,117,54783,22,51,66
Rey Seductor (Inspirado en Scandal Pour Homme de Jean Paul Gaultier),B,1.242306815591520401000,109,52091,23,44,65
Victoria Magnética (Inspirado en Invictus),B,1.242306815591520401000,109,52391,24,43,66
Dominio Supremo  (Inspirado en Stronger With You de Armani),B,1.139731023478459084000,100,47300,25,42,58
Magnate Sublime (Inspirado en Millésime Imperial de Creed),B,1.105539092774105311000,97,44603,26,45,52
Suerte Líquida (Inspirado en One Million Lucky),B,1.014360610895828584000,89,42211,27,37,52
Sombra Seductora (Inspirado en Ombre Leather de Tom Ford),B,0.923182129017551858000,81,39219,28,31,50
Oro Encantado (Inspirado en Costa Azzurra de Tom Ford),B,0.797811716434921359000,70,31730,29,34,36
Llama Ancestral (Inspirado en Eros Flame Versace),B,0.683838614087075450000,60,29340,30,22,38
Suspiro Cósmico (Inspirado en Meteore Louis Vuitton),B,0.683838614087075450000,60,28199.9,31,26,34
Fuego Imparable (Inspirado en Fucking Fabulous de Tom Ford),B,0.604057442443583314000,53,25447,32,21,32
Fortaleza Seductora (Inspirado en Silver Mountain Water de Creed),C,0.581262821974014133000,51,30249,33,1,50
Elegancia Negra (Inspirado en Bvlgari Man in Black),C,0.535673581034875769000,47,25453,34,9,38
Éxtasis Silvestre (Inspirado en Bleecker Street de Bond No. 9),C,0.410303168452245270000,36,18564,35,10,26
Brio del Campeón (Inspirado en Allure Homme Sport Extreme),C,0.341919307043537725000,30,8970,36,30,0
Reino Sagrado (Inspirado en The scent of peace for him de Bond no.9),C,0.330521996808753134000,29,15871,37,5,24
Pegaso Encantado (Inspirado en Pegasus de Parfums de Marly),C,0.319124686573968543000,28,6692,38,28,0
Destino Especiado (Inspirado en Spicebomb de Viktor&Rolf),C,0.296330066104399362000,26,9574,39,20,6
Éxtasis Prohibido  (Inspirado en Guilty de Gucci),C,0.296330066104399362000,26,6214,40,26,0
Eclipse Certero - *EXCLUSIVO AROMANTE*,C,0.262138135400045589000,23,15577,41,7,16
Noche Nostálgica (Inspirado en Fahrenheit de Dior),C,0.239343514930476408000,21,5019,42,21,0
Pocima Sagrada (Inspirado en Alexandria II de Xerjoff),C,0.227946204695691817000,20,7180,43,16,4
Ambar Siciliano (Inspirado en Neroli Portofino),C,0.159562343286984272000,14,4186,44,14,0
Vigor Naútico (Inspirado en Kenzo Homme),C,0.159562343286984272000,14,5086,45,11,3
Imperio Latente (Inspirado en 1872 Leather de Clive Christian),C,0.125370412582630499000,11,3889,46,9,2
Sinfonía de Cedro (Inspirado en Cedrat Boise de Mancera),C,0.011397310234784591000,1,299,47,1,0